datetime,ppt,tmin,tmax
1999-06-17,0.0,7.016919965744019,18.812919387817384
1999-06-18,0.0,10.509379920959471,21.50219985961914
1999-06-19,0.0,12.814880294799805,19.257919692993163
1999-06-20,0.0,13.720959835052492,19.911380424499512
1999-06-21,11.694739665985107,16.51196018218994,24.81264060974121
1999-06-22,0.2588999918103218,17.616719970703123,26.274600410461428
1999-06-23,2.580480065345764,13.044860401153564,26.64496025085449
1999-06-24,0.0,12.800439949035644,25.123959732055663
1999-06-25,0.5469799890974537,14.614459896087643,27.091179771423334
1999-06-26,5.712699928283691,14.199540023803712,30.33735969543457
1999-06-27,0.0241800004988908,8.27396032333374,22.11005962371826
1999-06-28,11.497519664764404,10.693880043029786,16.898579521179197
1999-06-29,0.0,10.951459732055664,20.20593978881836
1999-06-30,2.0513200092315675,11.330020008087155,20.76202049255371
1999-07-01,0.0,12.65714023590088,23.131119842529294
1999-07-02,0.0007600000360980631,11.39732011795044,20.96389961242676
1999-07-03,18.76550037384033,14.723779907226564,24.718880615234376
1999-07-04,6.464240026474,17.26305950164795,28.08880043029785
1999-07-05,1.9655399966239928,17.370259475708007,24.171639251708985
1999-07-06,12.709419841766358,12.37251989364624,23.021480140686037
1999-07-07,0.0,13.215039710998536,26.62112014770508
1999-07-08,3.925900049209595,14.972639904022216,24.254380149841307
1999-07-09,0.0012400000588968,13.306000080108642,22.68240043640137
1999-07-10,0.0,10.658319816589357,20.572780151367187
1999-07-11,0.0,12.419520072937011,24.890560073852537
1999-07-12,0.0,14.546219844818117,26.79335960388184
1999-07-13,0.0011400000099092,16.421899185180663,29.809500427246096
1999-07-14,1.3186400043964386,17.60762062072754,29.33393936157227
1999-07-15,0.0,18.31171962738037,26.209280242919924
1999-07-16,4.328520011901855,12.414700241088866,25.940119857788083
1999-07-17,0.0,10.953999843597412,20.392540168762206
1999-07-18,4.692259912490845,13.066660137176514,21.089700126647948
1999-07-19,4.937040147781372,15.527380237579347,20.74921966552734
1999-07-20,0.0,16.352599449157715,24.65218059539795
1999-07-21,0.0,17.706680526733397,28.87828022003174
1999-07-22,6.911040115356446,19.440099143981936,31.42569984436035
1999-07-23,0.2273000027239323,16.81988033294678,29.327939529418945
1999-07-24,0.0,16.538099250793454,31.901498794555664
1999-07-25,0.0,19.681299896240237,31.536599578857423
1999-07-26,0.5247800099849701,12.677959671020508,27.514279975891117
1999-07-27,0.0,13.526700019836426,25.17613998413086
1999-07-28,0.0,14.818139820098876,29.98313980102539
1999-07-29,0.0,16.0162003326416,35.57965957641601
1999-07-30,0.0,19.035000534057616,35.768661422729494
1999-07-31,0.0,12.70359998703003,26.427480278015132
1999-08-01,0.0,10.348119792938231,20.960060043334963
1999-08-02,0.0,13.134439888000488,24.18922084808349
1999-08-03,4.869739809036255,14.9454803276062,26.658899993896483
1999-08-04,0.0,12.937980003356934,24.52826038360596
1999-08-05,0.0,13.64174030303955,27.23864002227783
1999-08-06,0.0,14.070099811553954,29.24696083068848
1999-08-07,3.712780027389527,15.621679916381837,29.06051929473877
1999-08-08,0.0,9.351839771270752,20.545200271606443
1999-08-09,15.462099838256837,12.043420162200928,23.700879707336423
1999-08-10,0.0,14.757020111083984,26.489159202575685
1999-08-11,0.5889200174808502,15.356360301971437,29.13962024688721
1999-08-12,33.27903949737549,14.509460048675535,24.64630012512207
1999-08-13,59.055460968017584,9.027120361328125,13.923120288848876
1999-08-14,0.0,9.878280258178712,21.63926044464112
1999-08-15,0.1016800028085708,12.746399822235109,25.02573917388916
1999-08-16,4.62987998008728,11.82271997451782,25.656380004882813
1999-08-17,0.0,11.36785966873169,24.496939544677733
1999-08-18,0.0,12.521799774169924,26.26218006134033
1999-08-19,0.0,10.233280086517334,21.913380546569822
1999-08-20,0.0,11.077300357818602,24.723840866088867
1999-08-21,0.3310199981927871,12.750260162353516,23.991559944152836
1999-08-22,0.0,14.49367992401123,27.78028011322022
1999-08-23,0.0,12.62920000076294,29.7647802734375
1999-08-24,0.0,12.50145965576172,23.99302017211914
1999-08-25,0.0,12.89745985031128,26.6664599609375
1999-08-26,0.0,15.474160308837892,28.8227795791626
1999-08-27,0.0,15.745199851989746,30.812200584411617
1999-08-28,6.597640171051025,15.435640106201172,30.891240615844723
1999-08-29,3.563699932098389,11.915340003967284,24.16187950134277
1999-08-30,5.86621994972229,12.143499698638918,17.027999877929688
1999-08-31,3.33441997051239,15.817459983825682,25.321740646362304
1999-09-01,4.51354001045227,15.635800037384035,31.356819610595704
1999-09-02,6.9029401111602775,12.037980003356934,16.487640533447266
1999-09-03,8.192540102005005,10.411160049438475,13.541079788208007
1999-09-04,12.701319675445555,10.501579895019532,12.9504998588562
1999-09-05,5.872679834365845,9.165819854736329,13.255720195770262
1999-09-06,0.0,8.097939586639404,18.55084056854248
1999-09-07,0.0,10.33706008911133,25.9955997467041
1999-09-08,3.6876799631118775,9.414420166015624,21.45666046142578
1999-09-09,0.0,5.137040033340454,14.47167999267578
1999-09-10,0.0,5.100919981002808,17.928339805603027
1999-09-11,2.482720074653625,5.852380084991456,19.514160728454588
1999-09-12,3.4223400735855103,7.443980188369751,14.452539920806885
1999-09-13,2.55788007736206,7.566560144424439,12.97931995391846
1999-09-14,0.0,6.152539987564087,13.624139671325684
1999-09-15,0.0,5.006679859161377,14.557579650878909
1999-09-16,0.0,4.126439905166626,18.302140007019045
1999-09-17,0.0,7.321640110015869,21.724899978637698
1999-09-18,0.0,10.294919929504395,24.42360054016113
1999-09-19,0.0,7.2310200881958,18.74890014648437
1999-09-20,0.0,4.612400102615356,11.122600269317626
1999-09-21,0.0,4.637379932403564,14.817679996490478
1999-09-22,0.0,6.433579931259156,24.14906044006348
1999-09-23,0.0,6.999160060882568,27.623279876708985
1999-09-24,0.0,6.194700031280517,19.16011978149414
1999-09-25,0.0,6.895520057678223,23.73300045013428
1999-09-26,2.3212400913238525,6.833119802474975,14.045040016174315
1999-09-27,1.921100027561188,2.536200008392334,9.87781976699829
1999-09-28,0.0,1.5683200049400332,14.237619800567629
1999-09-29,0.0,0.213659995496273,13.741660003662108
1999-09-30,0.0,0.9319799959659576,15.325599708557128
1999-10-01,0.0,-3.348399958610534,9.171480178833006
1999-10-02,0.0,-5.849059963226319,3.9297400045394895
1999-10-03,0.0,-5.787060022354126,6.298539915084839
1999-10-04,0.0,-1.7614400005340576,5.836239910125732
1999-10-05,0.0,-0.430880001783371,15.99783971786499
1999-10-06,0.0,-2.485139966011048,7.833020019531251
1999-10-07,0.0041799999773502,-1.7065800070762631,9.801480045318604
1999-10-08,0.0,4.809020032882691,14.404760246276856
1999-10-09,0.0,5.8753999710083,20.250580062866213
1999-10-10,0.0,3.696940045356751,17.590039863586423
1999-10-11,0.0,1.7749600195884705,15.944479885101316
1999-10-12,0.00038000001804903153,3.689459962844849,18.24130001068115
1999-10-13,4.676699914932251,0.2941599982976913,6.69624011039734
1999-10-14,0.4550999993085862,0.4848399877548218,9.96866024017334
1999-10-15,1.4447399830818175,5.245740060806274,16.383879585266115
1999-10-16,0.0,-0.1260000043967738,12.4747599029541
1999-10-17,0.0,-3.058679971694947,7.563179931640626
1999-10-18,1.394039967060089,-3.463520045280456,9.083419876098633
1999-10-19,0.0,1.2192400097846985,7.848660039901733
1999-10-20,0.0,-3.2337200880050663,5.614819917678833
1999-10-21,0.0,3.170779943466187,18.0976598739624
1999-10-22,0.0,-0.2373399937711656,16.44764030456543
