datetime,pr,tmmn,tmmx
2001-01-29,0.0,262.5167639160156,273.2054711914062
2001-01-30,0.0,261.4067150878906,271.5053674316406
2001-01-31,0.0,256.10669494628905,266.84108520507806
2001-02-01,0.0,244.05645782470705,258.02090515136723
2001-02-02,2.96629765510559,245.2167413330078,264.0110681152344
2001-02-03,0.0,260.4267529296875,274.58096374511723
2001-02-04,0.0,264.5764111328125,273.63109375
2001-02-05,0.0,261.9162243652344,271.2115509033203
2001-02-06,0.0,258.8167169189453,269.63149291992187
2001-02-07,0.0,256.4567517089844,264.3915435791015
2001-02-08,0.0,254.4769747924805,261.2314178466797
2001-02-09,0.0,251.1468051147461,258.8111297607422
2001-02-10,0.0,248.07629425048827,256.1311370849609
2001-02-11,1.493462014198303,249.99696380615237,262.31096435546874
2001-02-12,0.0,256.3964794921875,265.4614593505859
2001-02-13,0.0,252.52616912841796,262.5210272216797
2001-02-14,0.0,248.65701324462887,260.2111236572265
2001-02-15,0.0,251.1560824584961,265.10135192871087
2001-02-16,0.0,250.12678558349603,258.80072326660155
2001-02-17,0.0,247.47703582763668,261.56151611328124
2001-02-18,0.0,252.04629547119143,269.10095275878905
2001-02-19,0.0,255.5862481689453,266.87109436035155
2001-02-20,0.0,249.88684112548825,259.09082092285155
2001-02-21,0.0,248.53646881103515,262.9315216064453
2001-02-22,0.0,250.7167819213867,263.4612762451172
2001-02-23,1.062730553150177,248.72656280517575,260.88094116210937
2001-02-24,0.0,256.9864758300781,265.77078552246087
2001-02-25,3.0850686216354366,254.7864535522461,263.47090698242187
2001-02-26,0.0,248.1562808227539,259.70099182128905
2001-02-27,0.0,243.836227722168,259.3008935546875
2001-02-28,0.0,255.2820059204101,271.12287475585936
2001-03-01,0.0,262.86150939941405,275.5429821777344
2001-03-02,0.0,262.98205383300774,275.3132763671875
2001-03-03,0.0,263.7818585205078,271.3833447265625
2001-03-04,0.0,258.20184143066405,267.7430859375
2001-03-05,0.0,256.58178283691404,268.2832165527344
2001-03-06,0.0,260.6220684814453,272.4128552246093
2001-03-07,0.0,261.101957397461,272.78333862304686
2001-03-08,0.0,260.1514874267578,271.1529040527344
2001-03-09,0.0,259.6715985107422,272.033125
2001-03-10,0.0,261.89171936035154,272.1831799316406
2001-03-11,0.0,257.871488647461,269.8729052734375
2001-03-12,0.0,265.6715960693359,276.8633557128906
2001-03-13,0.0,270.38189514160155,276.99259765625
2001-03-14,0.0,270.4216876220703,280.68290283203123
2001-03-15,0.0,269.1914654541016,276.8933544921875
2001-03-16,0.0,269.84173400878905,279.5029431152344
2001-03-17,0.0,264.1717181396484,275.2232598876953
