datetime,prcp,tmin,tmax
1986-12-12,0.0,-22.47278669229138,-10.875889256066484
1986-12-13,0.0,-22.7046244135016,-4.019802352656489
1986-12-14,0.0,-10.810079016704332,-0.2405533578556045
1986-12-15,0.0,-8.633359735662287,2.686660139457039
1986-12-16,0.0,-9.163280728306225,2.115316199219745
1986-12-17,0.0,-6.163537613487997,-1.380988177810262
1986-12-18,0.0,-10.245948557797156,-0.9575296370643872
1986-12-19,0.0,-10.897450643094636,-3.3185770096986182
1986-12-20,0.0,-13.052332184531467,-3.166739188164119
1986-12-21,0.0,-12.230810235140352,0.8713241117038274
1986-12-22,0.0,-7.900612556887239,2.685573183971903
1986-12-23,0.0,-8.947628300180549,2.5119762731635054
1986-12-24,0.0,-8.53462465572734,2.8173121887704604
1986-12-25,0.0,-11.877984222216098,-1.9926679457129224
1986-12-26,0.0,-11.568616697439564,2.432272791862488
1986-12-27,0.0,-7.61001970456994,2.721857734348463
1986-12-28,0.0,-8.984743044781592,1.6435968293974048
1986-12-29,0.0,-8.1835176520668,-0.7438142351482225
1986-12-30,0.0,-6.964189657580711,1.283438753233597
1986-12-31,0.0,-6.919466467242937,-1.3751778590820525
1987-01-01,0.0,-7.226877303933907,-4.073458547177522
1987-01-02,0.0,-10.323893111685049,-3.226067216499992
1987-01-03,0.0,-9.899901299608551,1.1004545059599893
1987-01-04,0.0,-5.628419023257471,1.231422892201088
1987-01-05,0.0,-4.028043598996792,2.3016402669574902
1987-01-06,0.0,-7.966739073101239,-2.2540909051895137
1987-01-07,0.0,-11.097925073073316,-4.207470286033841
1987-01-08,0.0,-11.474268926462166,-3.150059292910127
1987-01-09,0.0,-11.678221242701111,-3.80474303079688
1987-01-10,0.0,-10.723122451616373,-4.139743157055067
1987-01-11,0.0,-9.070849927517738,5.782055231893486
1987-01-12,0.0,-1.5600790461532683,6.6895058456616905
1987-01-13,0.0,-0.871304353824246,4.693557271844313
1987-01-14,0.0,-11.185138155820342,-0.1814031635407402
1987-01-15,0.0,-21.89209502676259,-11.33335980502042
1987-01-16,0.0,-21.83537546165376,-9.364861752204744
1987-01-17,0.0,-17.122233292802047,-8.57679858038077
1987-01-18,0.0,-19.564466698838785,-2.9874901305074277
1987-01-19,2.0087351695350977,-15.841304564193305,-3.1842688190136035
1987-01-20,0.0,-15.49266816316386,-5.9359879776423154
1987-01-21,1.0434782285935322,-11.701343726734873,-3.2957707073377525
1987-01-22,0.0,-22.01282610158204,-10.96418976877989
1987-01-23,0.0,-27.51132433593509,-13.00863641806742
1987-01-24,0.0,-22.23899180898553,-14.60559287655495
1987-01-25,0.0,-21.209150208786067,-11.147430789329318
1987-01-26,0.0,-16.266344247599363,-1.6809288633199548
1987-01-27,0.0,-9.81571146998952,-2.1326680051479414
1987-01-28,0.0,-8.296047440630645,-1.882351771644924
1987-01-29,0.0,-5.488102762124284,0.3627075081757405
1987-01-30,0.0,-7.02790503916533,-0.9642490169747544
1987-01-31,0.0,-9.430236912527574,3.59124506320878
1987-02-01,0.0,-7.9000791127502685,3.56397227100704
1987-02-02,0.0,-8.345079233523885,2.638280616447388
1987-02-03,0.0,-10.85699603303148,2.176897302917812
1987-02-04,0.0,-13.034169702190656,1.912332025676848
1987-02-05,0.0,-5.965098725006043,4.39300396037196
1987-02-06,0.0,-4.3968576583937695,4.950612569514941
1987-02-07,0.0,-3.505296437636665,5.694604752092022
1987-02-08,0.0,-12.53462465572734,2.0976877697842866
1987-02-09,0.0,-5.635118601350445,3.289248974426932
